cest;descricao
12.002.00;"Aquecedores elétricos de água, incluídos os de imersão, chuveiros ou duchas elétricos, torneiras elétricas, resistências de aquecimento, inclusive as de duchas e chuveiros elétricos e suas partes; exceto outros fornos, fogareiros (incluídas as chapas de cocção), grelhas e assadeiras, classificados na posição 8516.60.00"
12.003.00;Aparelhos para interrupção, seccionamento, proteção, derivação, ligação ou conexão de circuitos elétricos (por exemplo, interruptores, comutadores, corta-circuitos, para-raios, limitadores de tensão, eliminadores de onda, tomadas de corrente e outros conectores, caixas de junção), para tensão superior a 1.000V, exceto os de uso automotivo
12.004.00;"Aparelhos para interrupção, seccionamento, proteção, derivação, ligação ou conexão de circuitos elétricos (por exemplo, interruptores, comutadores, relés, corta-circuitos, eliminadores de onda, plugues e tomadas de corrente, suportes para lâmpadas e outros conectores, caixas de junção), para uma tensão não superior a 1.000V; conectores para fibras ópticas, feixes ou cabos de fibras ópticas; exceto 'starter' classificado na subposição 8536.50 e os de uso automotivo"
12.005.00;Partes reconhecíveis como exclusiva ou principalmente destinadas aos aparelhos das posições 8535 e 8536
12.006.00;Cabos, tranças e semelhantes, de cobre, não isolados para usos elétricos, exceto os de uso automotivo
12.007.00;"Fios, cabos (incluídos os cabos coaxiais) e outros condutores, isolados ou não, para usos elétricos (incluídos os de cobre ou alumínio, envernizados ou oxidados anodicamente), mesmo com peças de conexão, inclusive fios e cabos elétricos, para tensão não superior a 1000V, para uso na construção; fios e cabos telefônicos e para transmissão de dados; cabos de fibras ópticas, constituídos de fibras embainhadas individualmente, mesmo com condutores elétricos ou munidos de peças de conexão; cordas, cabos, tranças e semelhantes, de alumínio, não isolados para uso elétricos; exceto os de uso automotivo"
12.008.00;Isoladores de qualquer matéria, para usos elétricos
12.009.00;"Peças isolantes inteiramente de matérias isolantes, ou com simples peças metálicas de montagem (suportes roscados, por exemplo) incorporadas na massa, para máquinas, aparelhos e instalações elétricas; tubos isoladores e suas peças de ligação, de metais comuns, isolados interiormente"
13.001.00;Medicamentos de referência - positiva, exceto para uso veterinário
13.001.01;Medicamentos de referência - negativa, exceto para uso veterinário
13.001.02;Medicamentos de referência - neutra, exceto para uso veterinário
13.002.00;Medicamentos genérico - positiva, exceto para uso veterinário
13.002.01;Medicamentos genérico - negativa, exceto para uso veterinário
13.002.02;Medicamentos genérico - neutra, exceto para uso veterinário
13.003.00;Medicamentos similar - positiva, exceto para uso veterinário
13.003.01;Medicamentos similar - negativa, exceto para uso veterinário
13.003.02;Medicamentos similar - neutra, exceto para uso veterinário
13.004.00;Outros tipos de medicamentos - positiva, exceto para uso veterinário
13.004.01;Outros tipos de medicamentos - negativa, exceto para uso veterinário
13.004.02;Outros tipos de medicamentos - neutra, exceto para uso veterinário
13.005.00;Preparações químicas contraceptivas à base de hormônios, de outros produtos da posição 29.37 ou de espermicidas - positiva
13.005.01;Preparações químicas contraceptivas à base de hormônios, de outros produtos da posição 29.37 ou de espermicidas - negativa
13.006.00;Provitaminas e vitaminas, naturais ou reproduzidas por síntese (incluídos os concentrados naturais), bem como os seus derivados utilizados principalmente como vitaminas, misturados ou não entre si, mesmo em quaisquer soluções - neutra
13.007.00;Preparações opacificantes (contrastantes) para exames radiográficos e reagentes de diagnóstico concebidos para serem administrados ao paciente - positiva
13.007.01;Preparações opacificantes (contrastantes) para exames radiográficos e reagentes de diagnóstico concebidos para serem administrados ao paciente - negativa
13.008.00;Antissoro, outras frações do sangue, produtos imunológicos modificados, mesmo obtidos por via biotecnológica, exceto para uso veterinário - positiva
13.008.01;Antissoro, outras frações do sangue, produtos imunológicos modificados, mesmo obtidos por via biotecnológica, exceto para uso veterinário - negativa
13.009.00;"Vacinas e produtos semelhantes, exceto para uso veterinário - positiva;"
13.009.01;"Vacinas e produtos semelhantes, exceto para uso veterinário - negativa;"
13.010.00;Curativos (pensos) adesivos e outros artigos com uma camada adesiva, impregnados ou recobertos de substâncias farmacêuticas - Lista Positiva
13.010.01;Curativos (pensos) adesivos e outros artigos com uma camada adesiva, impregnados ou recobertos de substâncias farmacêuticas - Lista Negativa
13.011.00;Algodão, atadura, esparadrapo, gazes, pensos, sinapismos, e outros, acondicionados para venda a retalho para usos medicinais, cirúrgicos ou dentários, não impregnados ou recobertos de substâncias farmacêuticas - Lista Neutra
13.012.00;Luvas cirúrgicas e luvas de procedimento - neutra
13.013.00;Preservativo – neutra
13.014.00;Seringas, mesmo com agulhas - neutra
13.015.00;Agulhas para seringas - neutra
13.016.00;Contraceptivos (dispositivos intrauterinos - DIU) - neutra
14.001.00;Objetos de vidro para serviço de mesa ou de cozinha
14.002.00;Outros copos, exceto de vitrocerâmica
14.003.00;Objetos para serviço de mesa (exceto copos) ou de cozinha, exceto de vitrocerâmica
14.004.00;Lonas plásticas, exceto as para uso na construção
14.005.00;Artefatos de higiene/toucador de plástico, exceto os para uso na construção
14.006.00;Serviços de mesa e outros utensílios de mesa ou de cozinha, de plástico, inclusive os descartáveis
14.007.00;Artigos para serviço de mesa ou de cozinha, de porcelana, inclusive os descartáveis – estojos
14.008.00;Artigos para serviço de mesa ou de cozinha, de porcelana, inclusive os descartáveis – avulsos
14.009.00;Artigos para serviço de mesa ou de cozinha, de cerâmica
14.010.00;Velas para filtros
14.011.00;Filtros descartáveis para coar café ou chá
14.012.00;Bandejas, travessas, pratos, xícaras ou chávenas, taças, copos e artigos semelhantes, de papel ou cartão
14.013.00;Papel para cigarro
16.001.00;Pneus novos, dos tipos utilizados em automóveis de passageiros (incluídos os veículos de uso misto - camionetas e os automóveis de corrida)
16.002.00;Pneus novos, dos tipos utilizados em caminhões (inclusive para os fora-de-estrada), ônibus, aviões, máquinas de terraplenagem, de construção e conservação de estradas, máquinas e tratores agrícolas, pá-carregadeira
16.003.00;Pneus novos para motocicletas
16.004.00;Outros tipos de pneus novos, exceto os itens classificados no CEST 16.005.00
16.005.00;Pneus novos de borracha dos tipos utilizados em bicicletas
16.006.00;Pneus recauchutados
16.007.00;Protetores de borracha, exceto os itens classificados no CEST 16.007.01
16.007.01;Protetores de borracha para bicicletas
16.008.00;Câmaras de ar de borracha, exceto os itens classificados no CEST 16.009.00
16.009.00;Câmaras de ar de borracha dos tipos utilizados em bicicletas
17.001.00;Chocolate branco, em embalagens de conteúdo inferior ou igual a 1 kg, excluídos os ovos de páscoa de chocolate.
17.002.00;Chocolates contendo cacau, em embalagens de conteúdo inferior ou igual a 1 kg
17.003.00;Chocolate em barras, tabletes ou blocos ou no estado líquido, em pasta, em pó, grânulos ou formas semelhantes, em recipientes ou embalagens imediatas de conteúdo inferior ou igual a 2 kg
17.004.00;Chocolates e outras preparações alimentícias contendo cacau, em embalagens de conteúdo inferior ou igual a 1 kg, excluídos os achocolatados em pó e ovos de páscoa de chocolate.
17.005.00;Ovos de páscoa de chocolate branco
17.005.01;Ovos de páscoa de chocolate
17.006.00;Achocolatados em pó, em embalagens de conteúdo inferior ou igual a 1 kg, exceto os classificados no CEST 17.006.02
17.006.01;Cacau em pó, com adição de açúcar ou de outros edulcorantes, em embalagens de conteúdo inferior ou igual a 1kg
17.006.02;Achocolatados em pó, em cápsulas
17.007.00;Caixas de bombons contendo cacau, em embalagens de conteúdo inferior ou igual a 1 kg
17.008.00;Bombons, inclusive à base de chocolate branco sem cacau
17.009.00;Bombons, balas, caramelos, confeitos, pastilhas e outros produtos de confeitaria, contendo cacau
17.010.00;"Sucos de frutas ou de produtos hortícolas; mistura de sucos"
17.011.00;Água de coco
17.012.00;Leite em pó, blocos ou grânulos, exceto creme de leite
17.013.00;Farinha láctea
17.014.00;Leite modificado para alimentação de crianças
17.015.00;Preparações para alimentação infantil à base de farinhas, grumos, sêmolas ou amidos e outros
17.016.00;Leite 'longa vida' (UHT - 'Ultra High Temperature'), em recipiente de conteúdo inferior ou igual a 2 litros
17.016.01;Leite 'longa vida' (UHT - 'Ultra High Temperature'), em recipiente de conteúdo superior a 2 litros e inferior ou igual a 5 litros
17.017.00;Leite em recipiente de conteúdo inferior ou igual a 1 litro
17.017.01;Leite em recipiente de conteúdo superior a 1 litro e inferior ou igual a 5 litros
17.018.00;Leite do tipo pasteurizado em recipiente de conteúdo inferior ou igual a 1 litro
17.018.01;Leite do tipo pasteurizado em recipiente de conteúdo superior a 1 litro e inferior ou igual a 5 litros
17.019.00;Creme de leite, em recipiente de conteúdo inferior ou igual a 1 kg
17.019.01;Creme de leite, em recipiente de conteúdo superior a 1 kg
17.019.02;Outros cremes de leite, em recipiente de conteúdo inferior ou igual a 1kg
17.020.00;Leite condensado, em recipiente de conteúdo inferior ou igual a 1 kg
17.020.01;Leite condensado, em recipiente de conteúdo superior a 1 kg
17.021.00;Iogurte e leite fermentado em recipiente de conteúdo inferior ou igual a 2 litros
17.021.01;Iogurte e leite fermentado em recipiente de conteúdo superior a 2 litros
17.022.00;Coalhada
17.023.00;Requeijão e similares, em recipiente de conteúdo inferior ou igual a 1 kg, exceto as embalagens individuais de conteúdo inferior ou igual a 10 g
17.023.01;Requeijão e similares, em recipiente de conteúdo superior a 1 kg
17.024.00;Queijos, exceto os dos CEST 17.024.01, 17.024.02, 17.024.03 e 17.024.04
17.024.01;Queijo muçarela
17.024.02;Queijo minas frescal
17.024.03;Queijo ricota
17.024.04;Queijo petit suisse
17.025.00;Manteiga, em embalagem de conteúdo inferior ou igual a 1 kg, exceto as embalagens individuais de conteúdo inferior ou igual a 10 g
17.025.01;Manteiga, em embalagem de conteúdo superior a 1 kg
17.025.02;Manteiga de garrafa
17.026.00;Margarina e creme vegetal em recipiente de conteúdo inferior ou igual a 500 g, exceto as embalagens individuais de conteúdo inferior ou igual a 10 g
17.027.00;Margarina e creme vegetal, em recipiente de conteúdo superior a 500 g e inferior ou igual a 1 kg, exceto as embalagens individuais de conteúdo inferior ou igual a 10 g
17.027.01;Margarina e creme vegetal, em recipiente de conteúdo superior a 1 kg
17.027.02;Outras margarinas e cremes vegetais em recipiente de conteúdo inferior a 1 kg, exceto as embalagens individuais de conteúdo inferior ou igual a 10 g
17.028.00;Gorduras e óleos vegetais e respectivas frações, parcial ou totalmente hidrogenados, interesterificados, reesterificados ou elaidinizados, mesmo refinados, mas não preparados de outro modo, em recipiente de conteúdo inferior ou igual a 1 kg, exceto as embalagens individuais de conteúdo inferior ou igual a 10 g
17.028.01;Gorduras e óleos vegetais e respectivas frações, parcial ou totalmente hidrogenados, interesterificados, reesterificados ou elaidinizados, mesmo refinados, mas não preparados de outro modo, em recipiente de conteúdo superior a 1 kg, exceto as embalagens individuais de conteúdo inferior ou igual a 10 g
17.029.00;Doces de leite
17.030.00;Produtos à base de cereais, obtidos por expansão ou torrefação
17.031.00;Salgadinhos diversos
17.032.00;Batata frita, inhame e mandioca fritos
17.033.00;Amendoim e castanhas tipo aperitivo, em embalagem de conteúdo inferior ou igual a 1 kg
17.033.01;Amendoim e castanhas tipo aperitivo, em embalagem de conteúdo superior a 1 kg
17.034.00;Catchup em embalagens imediatas de conteúdo inferior ou igual a 650 g, exceto as embalagens contendo envelopes individualizados (sachês) de conteúdo inferior ou igual a 10 g
17.035.00;Condimentos e temperos compostos, incluindo molho de pimenta e outros molhos, em embalagens imediatas de conteúdo inferior ou igual a 1 kg, exceto as embalagens contendo envelopes individualizados (sachês) de conteúdo inferior ou igual a 3 g
17.036.00;Molhos de soja preparados em embalagens imediatas de conteúdo inferior ou igual a 650 g, exceto as embalagens contendo envelopes individualizados (sachês) de conteúdo inferior ou igual a 10 g
17.037.00;Farinha de mostarda em embalagens de conteúdo inferior ou igual a 1 kg
17.038.00;Mostarda preparada em embalagens imediatas de conteúdo inferior ou igual a 650 g, exceto as embalagens contendo envelopes individualizados (sachês) de conteúdo inferior ou igual a 10 g
17.039.00;Maionese em embalagens imediatas de conteúdo inferior ou igual a 650 g, exceto as embalagens contendo envelopes individualizados (sachês) de conteúdo inferior ou igual a 10 g
17.040.00;Tomates preparados ou conservados, exceto em vinagre ou em ácido acético, em embalagens de conteúdo inferior ou igual a 1 kg
17.041.00;Molhos de tomate em embalagens imediatas de conteúdo inferior ou igual a 1 kg
17.042.00;Barra de cereais
17.043.00;Barra de cereais contendo cacau
17.044.00;Farinha de trigo especial, em embalagem inferior ou igual a 1 kg
17.044.01;Farinha de trigo especial, em embalagem superior a 1 kg e inferior a 5 kg
17.044.02;Farinha de trigo especial, em embalagem igual a 5 kg
17.044.03;Farinha de trigo especial, em embalagem superior a 5 kg e inferior ou igual a 25 kg
17.044.04;Farinha de trigo especial, em embalagem superior a 25 kg e inferior ou igual a 50 kg
17.044.05;Farinha de trigo comum, em embalagem igual a 5 kg
17.044.06;Farinha de trigo comum, em embalagem superior a 5 kg e inferior ou igual a 25 kg
17.044.07;Farinha de trigo comum, em embalagem superior a 25 kg e inferior ou igual a 50 kg
17.044.08;Farinha de trigo doméstica especial, em embalagem superior a 5 kg e inferior e igual a 10 kg
17.044.09;Farinha de trigo doméstica com fermento, em embalagem superior a 5 kg e inferior e igual a 10 kg
17.044.10;Farinha de trigo especial, em embalagem superior a 50 Kg
17.044.11;Farinha de trigo comum, em embalagem inferior ou igual a 1 kg
17.044.12;Farinha de trigo comum, em embalagem superior a 1 kg e inferior a 5 Kg
17.044.13;Farinha de trigo comum, em embalagem superior a 50 kg
17.044.14;Farinha de trigo doméstica especial, em embalagem inferior ou igual a 1 kg
17.044.15;Farinha de trigo doméstica especial, em embalagem superior a 1 kg e inferior a 5 Kg
17.044.16;Farinha de trigo doméstica especial, em embalagem igual a 5 Kg
17.044.17;Farinha de trigo doméstica especial, em embalagem superior a 10 Kg
17.044.18;Farinha de trigo doméstica com fermento, em embalagem inferior ou igual a 1 kg
17.044.19;Farinha de trigo doméstica com fermento, em embalagem superior a 1 kg e inferior a 5 Kg
17.044.20;Farinha de trigo doméstica com fermento, em embalagem igual a 5 Kg
17.044.21;Farinha de trigo doméstica com fermento, em embalagem superior a 10 Kg
17.044.22;Outras farinhas de trigo, em embalagem inferior ou igual a 1 kg
17.044.23;Outras farinhas de trigo, em embalagem superior a 1 kg e inferior a 5 Kg
17.044.24;Outras farinhas de trigo, em embalagem igual a 5 Kg
17.044.25;Outras farinhas de trigo, em embalagem superior a 5 Kg e inferior ou igual a 25 kg
17.044.26;Outras farinhas de trigo, em embalagem superior a 25 Kg e inferior ou igual a 50 kg
17.044.27;Outras farinhas de trigo, em embalagem superior a 50 Kg
17.045.00;Farinha de mistura de trigo com centeio (méteil)
17.046.00;Misturas e preparações para bolos, em embalagem inferior 5 kg
17.046.01;Misturas e preparações para bolos, em embalagem igual a 5 kg
17.046.02;Misturas e preparações para bolos, em embalagem superior a 5 kg e inferior ou igual a 25 Kg
17.046.03;Misturas e preparações para bolos, em embalagem superior a 25 kg e inferior ou igual a 50 Kg
17.046.04;Misturas e preparações para bolos, em embalagem superior a 50 Kg
17.046.05;Misturas e preparações para pães com menos de 80% de farinha de trigo na sua composição final, em embalagem inferior a 5 kg
17.046.06;Misturas e preparações para pães com menos de 80% de farinha de trigo na sua composição final, em embalagem igual a 5 kg
17.046.07;Misturas e preparações para pães com menos de 80% de farinha de trigo na sua composição final, em embalagem superior a 5 kg e inferior ou igual a 25 Kg
17.046.08;Misturas e preparações para pães com menos de 80% de farinha de trigo na sua composição final, em embalagem superior a 25 kg e inferior ou igual a 50 Kg
17.046.09;Misturas e preparações para pães com menos de 80% de farinha de trigo na sua composição final, em embalagem superior a 50 Kg
17.046.10;Misturas e preparações para pães com, no mínimo, 80% de farinha de trigo na sua composição final, em embalagem inferior a 5 kg
17.046.11;Misturas e preparações para pães com, no mínimo, 80% de farinha de trigo na sua composição final, em embalagem igual a 5 kg
17.046.12;Misturas e preparações para pães com, no mínimo, 80% de farinha de trigo na sua composição final, em embalagem superior a 5 kg e inferior ou igual a 25 Kg
17.046.13;Misturas e preparações para pães com, no mínimo, 80% de farinha de trigo na sua composição final, em embalagem superior a 25 kg e inferior ou igual a 50 Kg
17.046.14;Misturas e preparações para pães com, no mínimo, 80% de farinha de trigo na sua composição final, em embalagem superior a 50 Kg
17.047.00;Massas alimentícias tipo instantânea
17.048.00;Massas alimentícias, cozidas ou recheadas (de carne ou de outras substâncias) ou preparadas de outro modo, exceto as descritas nos CEST 17.047.00, 17.048.01, e 17.048.02
17.048.01;Cuscuz
17.048.02;Massas alimentícias recheadas (mesmo cozidas ou preparadas de outro modo)
17.049.00;Massas alimentícias do tipo comum, não cozidas, nem recheadas, nem preparadas de outro modo, exceto a descrita no CEST 17.049.03
17.049.01;Massas alimentícias do tipo sêmola, não cozidas, nem recheadas, nem preparadas de outro modo, exceto a descrita no CEST 17.049.04
17.049.02;Massas alimentícias do tipo granoduro, não cozidas, nem recheadas, nem preparadas de outro modo, exceto a descrita no CEST 17.049.05
17.049.03;Massas alimentícias do tipo comum, não cozidas, nem recheadas, nem preparadas de outro modo, que não contenham ovos
17.049.04;Massas alimentícias do tipo sêmola, não cozidas, nem recheadas, nem preparadas de outro modo, que não contenham ovos
17.049.05;Massas alimentícias do tipo granoduro, não cozidas, nem recheadas, nem preparadas de outro modo, que não contenham ovos
17.050.00;Pães industrializados, inclusive de especiarias, exceto panetones e bolo de forma
17.051.00;Bolo de forma, inclusive de especiarias
17.052.00;Panetones
17.053.00;"Biscoitos e bolachas derivados de farinha de trigo; (exceto dos tipos 'cream cracker', 'água e sal', 'maisena', 'maria' e outros de consumo popular que não sejam adicionados de cacau, nem recheados, cobertos ou amanteigados, independentemente de sua denominação comercial)"
17.053.01;Biscoitos e bolachas derivados de farinha de trigo dos tipos 'maisena' e 'maria' e outros de consumo popular que não sejam adicionados de cacau, nem recheados, cobertos ou amanteigados, independentemente de sua denominação comercial, exceto o CEST 17.053.02
17.053.02;Biscoitos e bolachas derivados de farinha de trigo dos tipos 'cream cracker' e 'água e sal' de consumo popular
17.054.00;"Biscoitos e bolachas não derivados de farinha de trigo; (exceto dos tipos 'cream cracker', 'água e sal', 'maisena' e 'maria' e outros de consumo popular que não sejam adicionados de cacau, nem recheados, cobertos ou amanteigados, independentemente de sua denominação comercial)"
17.054.01;Biscoitos e bolachas não derivados de farinha de trigo dos tipos 'maisena' e 'maria' e outros de consumo popular que não sejam adicionados de cacau, nem recheados, cobertos ou amanteigados, independentemente de sua denominação comercial, exceto o CEST 17.054.02
17.054.02;Biscoitos e bolachas não derivados de farinha de trigo dos tipos 'cream cracker' e 'água e sal' de consumo popular
17.056.00;Biscoitos e bolachas derivados de farinha de trigo dos tipos 'cream cracker' e 'água e sal'
17.056.01;Biscoitos e bolachas não derivados de farinha de trigo dos tipos 'cream cracker' e 'água e sal'
17.056.02;Outras bolachas, exceto casquinhas para sorvete e os biscoitos e bolachas relacionados nos CEST 17.056.00 e 17.056.01
17.057.00;'Waffles' e 'wafers' - sem cobertura
17.058.00;'Waffles' e 'wafers' - com cobertura
17.059.00;Torradas, pão torrado e produtos semelhantes torrados
17.060.00;Outros pães de forma
17.062.00;"Outros pães e bolos industrializados e produtos de panificação não especificados anteriormente; exceto casquinhas para sorvete e pão francês de até 200 g"
17.063.00;Pão denominado knackebrot
17.064.00;Demais pães industrializados
17.065.00;Óleo de soja refinado, em recipientes com capacidade inferior ou igual a 5 litros, exceto as embalagens individuais de conteúdo inferior ou igual a 15 mililitros
17.066.00;Óleo de amendoim refinado, em recipientes com capacidade inferior ou igual a 5 litros, exceto as embalagens individuais de conteúdo inferior ou igual a 15 mililitros
17.067.00;Azeites de oliva, em recipientes com capacidade inferior a 2 litros, exceto as embalagens individuais de conteúdo inferior ou igual a 20 mililitros
17.067.01;Azeites de oliva, em recipientes com capacidade igual ou superior a 2 litros e inferior ou igual a 5 litros
17.067.02;Azeites de oliva, em recipientes com capacidade superior a 5 litros
17.068.00;Outros óleos e respectivas frações, obtidos exclusivamente a partir de azeitonas, mesmo refinados, mas não quimicamente modificados, e misturas desses óleos ou frações com óleos ou frações da posição 15.09, em recipientes com capacidade inferior ou igual a 5 litros, exceto as embalagens individuais de conteúdo inferior ou igual a 15 mililitros
17.069.00;Óleo de girassol ou de algodão refinado, em recipientes com capacidade inferior ou igual a 5 litros, exceto as embalagens individuais de conteúdo inferior ou igual a 15 mililitros
17.070.00;Óleo de canola, em recipientes com capacidade inferior ou igual a 5 litros, exceto as embalagens individuais de conteúdo inferior ou igual a 15 mililitros
17.071.00;Óleo de linhaça refinado, em recipientes com capacidade inferior ou igual a 5 litros, exceto as embalagens individuais de conteúdo inferior ou igual a 15 mililitros
17.072.00;Óleo de milho refinado, em recipientes com capacidade inferior ou igual a 5 litros, exceto as embalagens individuais de conteúdo inferior ou igual a 15 mililitros
17.073.00;Outros óleos refinados, em recipientes com capacidade inferior ou igual a 5 litros, exceto as embalagens individuais de conteúdo inferior ou igual a 15 mililitros
17.074.00;Misturas de óleos refinados, para consumo humano, em recipientes com capacidade inferior ou igual a 5 litros, exceto as embalagens individuais de conteúdo inferior ou igual a 15 mililitros
17.075.00;Outros óleos vegetais comestíveis não especificados anteriormente
17.076.00;"Enchidos (embutidos) e produtos semelhantes, de carne, miudezas ou sangue; exceto salsicha, linguiça e mortadela"
17.077.00;Salsicha e linguiça
17.078.00;Mortadela
17.079.00;Outras preparações e conservas de carne, miudezas ou de sangue, exceto as descritas nos CEST 17.079.01, 17.079.02, 17.079.03, 17.079.04, 17.079.05, 17.079.06
17.079.01;Outras preparações e conservas de carne, de miudezas ou de sangue, de aves da posição 01.05: de peruas e de perus.
17.079.02;Outras preparações e conservas de carne, de miudezas ou de sangue, de aves da posição 01.05: de galos e de galinhas, com conteúdo de carne ou de miudezas superior ou igual a 57 %, em peso, não cozidas
17.079.03;Outras preparações e conservas de carne, de miudezas ou de sangue, todas de aves da posição 01.05: de galos e de galinhas, com conteúdo de carne ou de miudezas superior ou igual a 57 %, em peso, cozidas
17.079.04;Outras preparações e conservas de carne, de miudezas ou de sangue, da espécie suína: pernas e respectivos pedaços
17.079.05;Outras preparações e conservas de carne, de miudezas ou de sangue, da espécie suína: outras, incluindo as misturas
17.079.06;Outras preparações e conservas de carne, de miudezas ou de sangue, da espécie bovina
17.080.00;"Preparações e conservas de peixes; caviar e seus sucedâneos preparados a partir de ovas de peixe; exceto os descritos nos CEST 17.080.01 e 17.081.00"
17.080.01;Outras preparações e conservas de atuns
17.081.00;Sardinha em conserva
17.082.00;Crustáceos, moluscos e outros invertebrados aquáticos, preparados ou em conservas
17.083.00;Carne de gado bovino, ovino e bufalino e produtos comestíveis resultantes da matança desse gado submetidos à salga, secagem ou desidratação
17.084.00;Carne de gado bovino, ovino e bufalino e demais produtos comestíveis resultantes da matança desse gado frescos, refrigerados ou congelados
17.085.00;Carnes de animais das espécies caprina, frescas, refrigeradas ou congeladas
17.086.00;Carnes e demais produtos comestíveis frescos, resfriados, congelados, salgados ou salmourados resultantes do abate de caprinos
17.087.00;Carnes e demais produtos comestíveis frescos, resfriados, congelados, salgados, em salmoura, simplesmente temperados, secos ou defumados, resultantes do abate de aves
17.087.01;Carnes e demais produtos comestíveis frescos, resfriados, congelados, salgados, em salmoura, simplesmente temperados, secos ou defumados, resultantes do abate de suínos
17.088.00;Produtos hortícolas, cozidos em água ou vapor, congelados, em embalagens de conteúdo inferior ou igual a 1 kg
17.088.01;Produtos hortícolas, cozidos em água ou vapor, congelados, em embalagens de conteúdo superior a 1 kg
17.089.00;Frutas, não cozidas ou cozidas em água ou vapor, congeladas, mesmo adicionadas de açúcar ou de outros edulcorantes, em embalagens de conteúdo inferior ou igual a 1 kg
17.089.01;Frutas, não cozidas ou cozidas em água ou vapor, congeladas, mesmo adicionadas de açúcar ou de outros edulcorantes, em embalagens de conteúdo superior a 1 kg
17.090.00;Produtos hortícolas, frutas e outras partes comestíveis de plantas, preparados ou conservados em vinagre ou em ácido acético, em embalagens de conteúdo inferior ou igual a 1 kg
17.090.01;Produtos hortícolas, frutas e outras partes comestíveis de plantas, preparados ou conservados em vinagre ou em ácido acético, em embalagens de conteúdo superior a 1 kg
17.091.00;Outros produtos hortícolas preparados ou conservados, exceto em vinagre ou em ácido acético, congelados, com exceção dos produtos da posição 20.06, em embalagens de conteúdo inferior ou igual a 1 kg
17.091.01;Outros produtos hortícolas preparados ou conservados, exceto em vinagre ou em ácido acético, congelados, com exceção dos produtos da posição 20.06, em embalagens de conteúdo superior a 1 kg
17.092.00;Outros produtos hortícolas preparados ou conservados, exceto em vinagre ou em ácido acético, não congelados, com exceção dos produtos da posição 20.06, excluídos batata, inhame e mandioca fritos, em embalagens de conteúdo inferior ou igual a 1 kg
17.092.01;Outros produtos hortícolas preparados ou conservados, exceto em vinagre ou em ácido acético, não congelados, com exceção dos produtos da posição 20.06, excluídos batata, inhame e mandioca fritos, em embalagens de conteúdo superior a 1 kg
17.093.00;Produtos hortícolas, frutas, cascas de frutas e outras partes de plantas, conservados com açúcar (passados por calda, glaceados ou cristalizados), em embalagens de conteúdo inferior ou igual a 1 kg
17.093.01;Produtos hortícolas, frutas, cascas de frutas e outras partes de plantas, conservados com açúcar (passados por calda, glaceados ou cristalizados), em embalagens de conteúdo superior a 1 kg
17.094.00;Doces, geleias, 'marmelades', purês e pastas de frutas, obtidos por cozimento, com ou sem adição de açúcar ou de outros edulcorantes, em embalagens de conteúdo inferior ou igual a 1 kg, exceto as embalagens individuais de conteúdo inferior ou igual a 10 g
17.094.01;Doces, geleias, 'marmelades', purês e pastas de frutas, obtidos por cozimento, com ou sem adição de açúcar ou de outros edulcorantes, em embalagens de conteúdo superior a 1 kg
17.095.00;Frutas e outras partes comestíveis de plantas, preparadas ou conservadas de outro modo, com ou sem adição de açúcar ou de outros edulcorantes ou de álcool, não especificadas nem compreendidas em outras posições, excluídos os amendoins e castanhas tipo aperitivo, da posição 2008.1, em embalagens de conteúdo inferior ou igual a 1 kg
17.095.01;Frutas e outras partes comestíveis de plantas, preparadas ou conservadas de outro modo, com ou sem adição de açúcar ou de outros edulcorantes ou de álcool, não especificadas nem compreendidas em outras posições, excluídos os amendoins e castanhas tipo aperitivo, da posição 2008.1, em embalagens superior a 1 kg
17.096.00;Café torrado e moído, em embalagens de conteúdo inferior ou igual a 2 kg, exceto os classificados no CEST 17.096.04
17.096.01;Café torrado e moído, em embalagens de conteúdo superior a 2 kg
17.096.02;Café torrado em grão, em embalagens de conteúdo inferior ou igual a 2 kg
17.096.03;Café torrado em grão, em embalagens de conteúdo superior a 2 kg
17.096.04;Café torrado e moído, em cápsulas
17.097.00;Chá, mesmo aromatizado
17.098.00;Mate
17.099.00;Açúcar refinado, em embalagens de conteúdo inferior ou igual a 2 kg, exceto as embalagens contendo envelopes individualizados (sachês) de conteúdo inferior ou igual a 10 g
17.099.01;Açúcar refinado, em embalagens de conteúdo superior a 2 kg e inferior ou igual a 5 kg
17.099.02;Açúcar refinado, em embalagens de conteúdo superior a 5 kg
17.100.00;Açúcar refinado adicionado de aromatizante ou de corante em embalagens de conteúdo inferior ou igual a 2 kg, exceto as embalagens contendo envelopes individualizados (sachês) de conteúdo inferior ou igual a 10 g
17.100.01;Açúcar refinado adicionado de aromatizante ou de corante em embalagens de conteúdo superior a 2 kg e inferior ou igual a 5 kg
17.100.02;Açúcar refinado adicionado de aromatizante ou de corante em embalagens de conteúdo superior a 5 kg
17.101.00;Açúcar cristal, em embalagens de conteúdo inferior ou igual a 2 kg, exceto as embalagens contendo envelopes individualizados (sachês) de conteúdo inferior ou igual a 10 g
17.101.01;Açúcar cristal, em embalagens de conteúdo superior a 2 kg e inferior ou igual a 5 kg
17.101.02;Açúcar cristal, em embalagens de conteúdo superior a 5 kg
17.102.00;Açúcar cristal adicionado de aromatizante ou de corante, em embalagens de conteúdo inferior ou igual a 2 kg, exceto as embalagens contendo envelopes individualizados (sachês) de conteúdo inferior ou igual a 10 g
